법명,조문명,id,조문내용
양도소득세 집행기준,제정 및 개정일자,503851725,제정 및 개정일자                                                               제정 2010. 6.&#x0D;                                                               개정 2012. 7.
양도소득세 집행기준,제1장 양도의 정의 (88-0-1∼88-151-7),503851726,"제1장 양도의 정의 (88-0-1∼88-151-7) ※ 양도의 정의(소득세법 §88) 양도는 자산에 대한 등기 또는 등록에 관계없이 매도, 교환, 법인에 대한 현물출자 등으로 인하여 그 자산이 사실상 유상으로 이전되는 것을 말한다."
양도소득세 집행기준,○ 양도로 보는 경우 (88-0-1∼88-0-5),503851727,○ 양도로 보는 경우 (88-0-1∼88-0-5)
양도소득세 집행기준,집행기준 88-0-1【양도로 보는 경우】,503851728,"집행기준 88-0-1【양도로 보는 경우】 양도의 정의에서 열거한 매도, 교환, 법인에 대한 현물출자 등은 자산이 유상으로 이전되는 경우에 대한 예를 든 것이므로, 열거되지 아니한 경우에도 자산이 유상으로 사실상 이전되는 때에는 모두 유상양도에 해당한다."
양도소득세 집행기준,집행기준 88-0-2【자산이 유상으로 이전되는 경우】,503851729,"집행기준 88-0-2【자산이 유상으로 이전되는 경우】 자산의 유상이전은 어떤 행위에 보상이 있는 것을 말하므로, 현금으로 대가를 받는 것은 물론 조합원의 지위를 취득하거나, 채무의 면제 등 자산을 이전하고 보상을 받은 것은 자산이 유상으로 이전되는 경우에 해당된다.           자산의 유상이전 사례              ┃     대        가     &#x0D; ━━━━━━━━━━━━━━━━━━━━━━╋━━━━━━━━━━━&#x0D;   매매(매도)                                │금전                  &#x0D; ──────────────────────┼───────────&#x0D;   교환                                      │부동산 또는 동산      &#x0D; ──────────────────────┼───────────&#x0D;   법인에 현물출자                           │주식 또는 출자지분    &#x0D; ──────────────────────┼───────────&#x0D;   공동사업에 현물출자                       │조합원의 지위         &#x0D; ──────────────────────┼───────────&#x0D;   협의매수ㆍ수용                            │현금ㆍ채권 또는 대토  &#x0D; ──────────────────────┼───────────&#x0D;   경매ㆍ공매, 위자료, 대물변제, 부담부증여, │채무의 감소           &#x0D;   물납                                      │                      &#x0D; ━━━━━━━━━━━━━━━━━━━━━━┷━━━━━━━━━━━"
양도소득세 집행기준,집행기준 88-0-3【양도담보자산으로 소유권이 이전되는 경우】,503851730,집행기준 88-0-3【양도담보자산으로 소유권이 이전되는 경우】 양도담보계약을 체결한 후 그 계약을 위배하거나 채무불이행으로 인하여 해당 자산을 변제에 충당한 때에는 이를 양도한 것으로 본다.
양도소득세 집행기준,집행기준 88-0-4【연접하지 않은 여러 필지의 토지를 지분정리하여 단독소유로 하는 경우】,503851731,집행기준 88-0-4【연접하지 않은 여러 필지의 토지를 지분정리하여 단독소유로 하는 경우】 연접하지 않은 2필지 이상의 공유 토지를 단독소유 목적으로 서로의 지분을 정리하는 것은 각 필지별 자기 지분 감소분과 다른 필지의 자기 지분 증가분이 교환되는 자산의 양도에 해당된다.
양도소득세 집행기준,집행기준 88-0-5【매매계약 체결 후 상속이 개시된 경우】,503851732,"집행기준 88-0-5【매매계약 체결 후 상속이 개시된 경우】 피상속인이 매매계약을 체결한 후 잔금을 청산하기 전에 상속이 개시되어 상속인이 잔금을 수령한 경우의 납세의무자는 상속인이 되는 것이며, 상속으로 취득한 자산을 상속받은 후 양도한 것에 해당된다."
양도소득세 집행기준,○ 양도로 보지 않는 경우 (88-151-1∼88-151-7),503851733,○ 양도로 보지 않는 경우 (88-151-1∼88-151-7)
양도소득세 집행기준,집행기준 88-151-1【환지처분 또는 보류지 충당】,503851734,집행기준 88-151-1【환지처분 또는 보류지 충당】 「도시개발법」또는 기타 법률에 의한 환지처분으로 지목 또는 지번이 변경되거나 보류지로 충당되는 경우 유상양도에 해당함에도 환지사업의 원활한 시행 등을 위하여 양도로 보지 않는다.
